user,company,tags,count
Eve,uber,Sort,1
Eve,uber,TwoPointers,3
Eve,uber,LinkedList,2
Eve,uber,Breadth-firstSearch,3
Eve,uber,Depth-firstSearch,4
Eve,uber,Graph,3
Eve,uber,TopologicalSort,2
Eve,uber,HashTable,2
Eve,uber,DivideandConquer,2
Eve,uber,DynamicProgramming,3
Eve,uber,Misc,1
Eve,uber,UnionFind,1
Eve,uber,Design,1
Eve,uber,SlidingWindow,1
Eve,uber,BinarySearch,2
Eve,yahoo,HashTable,2
Eve,yahoo,SlidingWindow,1
Eve,yahoo,String,3
Eve,yahoo,TwoPointers,1
Eve,yahoo,LinkedList,2
Eve,yahoo,Math,4
Eve,yahoo,Array,5
Eve,yahoo,DynamicProgramming,3
Eve,yahoo,DivideandConquer,1
Eve,yahoo,Design,1
Frank,adobe,Array,23
Frank,adobe,Sort,1
Frank,adobe,Tree,4
Frank,adobe,Math,2
Frank,adobe,String,5
Frank,adobe,Backtracking,1
Frank,adobe,LinkedList,3
Frank,adobe,TwoPointers,5
Frank,adobe,HashTable,1
Frank,adobe,DynamicProgramming,4
Frank,adobe,Breadth-firstSearch,2
Frank,adobe,Depth-firstSearch,3
Frank,adobe,UnionFind,1
Frank,adobe,BinarySearch,2
Frank,adobe,Stack,2
Frank,adobe,DivideandConquer,1
Frank,adobe,Heap,1
Frank,adobe,Greedy,2
Frank,amazon,Array,55
Frank,amazon,Sort,3
Frank,amazon,DynamicProgramming,6
Frank,amazon,Tree,14
Frank,amazon,Math,2
Frank,amazon,String,7
Frank,amazon,Depth-firstSearch,9
Frank,amazon,Backtracking,2
Frank,amazon,Breadth-firstSearch,3
Frank,amazon,HashTable,9
Frank,amazon,Heap,6
Frank,amazon,BinarySearch,6
Frank,amazon,TwoPointers,9
Frank,amazon,LinkedList,4
Frank,amazon,Design,2
Frank,amazon,Trie,2
Frank,amazon,Misc,4
Frank,amazon,SlidingWindow,2
Frank,amazon,UnionFind,1
Frank,amazon,Stack,5
Frank,amazon,DivideandConquer,2
Frank,amazon,Greedy,2
Frank,amazon,BitManipulation,1
Frank,apple,Array,22
Frank,apple,Sort,2
Frank,apple,Tree,4
Frank,apple,Math,2
Frank,apple,String,5
Frank,apple,BinarySearch,2
Frank,apple,HashTable,5
Frank,apple,TwoPointers,6
Frank,apple,LinkedList,4
Frank,apple,Depth-firstSearch,3
Frank,apple,Breadth-firstSearch,2
Frank,apple,UnionFind,1
Frank,apple,DynamicProgramming,2
Frank,apple,Stack,2
Frank,apple,DivideandConquer,1
Frank,apple,Heap,2
Frank,apple,Trie,1
Frank,bloomberg,Array,24
Frank,bloomberg,Sort,2
Frank,bloomberg,Math,2
Frank,bloomberg,String,4
Frank,bloomberg,Depth-firstSearch,4
Frank,bloomberg,Tree,4
Frank,bloomberg,HashTable,7
Frank,bloomberg,Heap,5
Frank,bloomberg,LinkedList,2
Frank,bloomberg,SlidingWindow,1
Frank,bloomberg,TwoPointers,4
Frank,bloomberg,Breadth-firstSearch,1
Frank,bloomberg,UnionFind,1
Frank,bloomberg,BinarySearch,3
Frank,bloomberg,DynamicProgramming,3
Frank,bloomberg,Stack,3
Frank,bloomberg,DivideandConquer,1
Frank,bloomberg,Misc,1
Frank,bloomberg,Trie,1
Frank,facebook,Array,39
Frank,facebook,Sort,3
Frank,facebook,Tree,8
Frank,facebook,Math,3
Frank,facebook,String,6
Frank,facebook,Depth-firstSearch,5
Frank,facebook,Backtracking,2
Frank,facebook,BinarySearch,6
Frank,facebook,HashTable,7
Frank,facebook,TwoPointers,6
Frank,facebook,Breadth-firstSearch,2
Frank,facebook,LinkedList,3
Frank,facebook,Misc,4
Frank,facebook,Heap,5
Frank,facebook,SlidingWindow,1
Frank,facebook,DynamicProgramming,4
Frank,facebook,UnionFind,1
Frank,facebook,Stack,3
Frank,facebook,DivideandConquer,2
Frank,facebook,Trie,1
Frank,facebook,Greedy,1
Frank,google,Array,45
Frank,google,Sort,2
Frank,google,Tree,12
Frank,google,Math,3
Frank,google,String,6
Frank,google,Depth-firstSearch,8
Frank,google,Breadth-firstSearch,3
Frank,google,LinkedList,3
Frank,google,TwoPointers,5
Frank,google,BinarySearch,6
Frank,google,Design,1
